IP,connection,Status,AS_num,AS_name,host
64.125.46.121,2,Intermediate,6461.0,"ZAYO-6461, US",64.125.46.121.IPYX-179716-ZYO.zip.zayo.com
179.31.62.37,2,Intermediate,6057.0,"Administracion Nacional de Telecomunicaciones, UY",crsan2.gru-ae1036.antel.net.uy
179.31.62.40,2,Intermediate,6057.0,"Administracion Nacional de Telecomunicaciones, UY",ibe2mln1-be5.antel.net.uy
179.31.59.238,2,Intermediate,6057.0,"Administracion Nacional de Telecomunicaciones, UY",cbb4mln1-be27-2001.antel.net.uy
200.40.98.28,2,Intermediate,6057.0,"Administracion Nacional de Telecomunicaciones, UY",ibb2cen3-be200-1703.antel.net.uy
200.40.98.27,2,Intermediate,6057.0,"Administracion Nacional de Telecomunicaciones, UY",r200-40-98-27.ir-static.adinet.com.uy
200.7.84.24,2,Intermediate,28000.0,"LACNIC - Latin American and Caribbean IP address, UY",uy-mvd-as28000.anchors.atlas.ripe.net
62.40.125.178,1,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",amres-gw.mx1.bud.hu.geant.net
147.91.5.144,1,Intermediate,13092.0,"UB-AS, RS",AMRES-MPLS-core----AMRES-IP-core-AMRES-IP.amres.ac.rs
147.91.6.177,1,Intermediate,13092.0,"UB-AS, RS",jmx-nis-junis.amres.ac.rs
147.91.6.178,1,Intermediate,13092.0,"UB-AS, RS",junis-jmx-nis.amres.ac.rs
160.99.1.254,1,Intermediate,13303.0,"UNNI-AS, RS",ripe-anchor.junis.ni.ac.rs
193.203.0.185,1,Intermediate,,,10gigabitethernet1-3.core1.vie1.he.net
184.105.65.110,1,Intermediate,6939.0,"HURRICANE, US",100ge9-2.core1.muc1.he.net
184.105.223.109,1,Intermediate,6939.0,"HURRICANE, US",100ge14-2.core1.fra2.he.net
72.52.92.85,1,Intermediate,6939.0,"HURRICANE, US",100ge16-2.core1.fra1.he.net
216.66.85.62,1,Intermediate,6939.0,"HURRICANE, US",ixreach-ltd.10gigabitethernet10-6.core1.fra1.he.net
91.196.184.79,1,Intermediate,43531.0,"IXREACH, GB",ae0-3142.bb.thn.lon.as43531.net
91.196.184.100,1,Intermediate,43531.0,"IXREACH, GB",ae1-3113.bb.gcc.man.as43531.net
31.217.131.67,1,Intermediate,43531.0,"IXREACH, GB",NA
46.227.203.230,1,Intermediate,41495.0,"FAELIX-AS, GB",xe0.rae.w.faelix.net
46.227.202.97,1,Intermediate,41495.0,"FAELIX-AS, GB",uk-mnc-as41495.anchors.atlas.ripe.net
62.40.124.39,1,Intermediate,20965.0,"GEANT The GEANT IP Service, GB",surfnet-gw.mx1.ams.nl.geant.net
80.249.208.71,1,Intermediate,,,gw.amsix.telrtr.ripe.net
193.0.0.165,2,Intermediate,3333.0,"RIPE-NCC-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL",nl-ams-as3333-4.anchors.atlas.ripe.net
64.125.29.126,4,Intermediate,6461.0,"ZAYO-6461, US",ae5.cs3.lga5.us.eth.zayo.com
64.125.29.19,1,Intermediate,6461.0,"ZAYO-6461, US",ae5.cs1.den5.us.eth.zayo.com
64.125.31.219,1,Intermediate,6461.0,"ZAYO-6461, US",ae6.cs1.sjc2.us.eth.zayo.com
64.125.30.231,1,Intermediate,6461.0,"ZAYO-6461, US",ae27.cr1.sjc2.us.zip.zayo.com
64.125.24.186,1,Intermediate,6461.0,"ZAYO-6461, US",ae11.mpr3.sfo3.us.zip.zayo.com
64.125.25.62,1,Intermediate,6461.0,"ZAYO-6461, US",ae0.mpr4.sfo3.us.zip.zayo.com
209.133.4.58,1,Intermediate,6461.0,"ZAYO-6461, US",NA
198.35.26.244,1,Intermediate,14907.0,"WIKIMEDIA, US",ripe-atlas-ulsfo.wikimedia.org
80.81.192.224,1,Intermediate,,,1-2.r1.fr.hwng.net
69.16.191.98,1,Intermediate,12989.0,"HWNG, NL",18-1.r1.am.hwng.net
81.171.40.26,1,Intermediate,34343.0,"BIP-AS BIP Backbone ASN, NL",NA
217.196.40.74,1,Intermediate,34106.0,"TELEGRAAF-AS AS NV Holdingmaatschappij De Telegraaf, NL",NA
217.196.40.27,1,Intermediate,34106.0,"TELEGRAAF-AS AS NV Holdingmaatschappij De Telegraaf, NL",NA
217.196.33.252,1,Intermediate,34106.0,"TELEGRAAF-AS AS NV Holdingmaatschappij De Telegraaf, NL",nl-ams-as34106.anchors.atlas.ripe.net
193.203.0.150,1,Intermediate,,,retn.vix.at
87.245.232.68,2,Intermediate,9002.0,"RETN-AS, EU",ae1-11.RT.TIC.VNO.LT.retn.net
87.245.242.137,1,Intermediate,9002.0,"RETN-AS, EU",GW-Cgates.retn.net
5.20.2.255,2,Intermediate,21412.0,"CGATES-AS, LT",dmz-2-255.cgates.lt
138.44.226.6,1,Intermediate,7575.0,"AARNET-AS-AP Australian Academic and Research Network (AARNet), AU",NA
113.197.15.35,1,Intermediate,7575.0,"AARNET-AS-AP Australian Academic and Research Network (AARNet), AU",et-1-1-0.pe1.fvly.qld.aarnet.net.au
138.44.129.154,1,Intermediate,7575.0,"AARNET-AS-AP Australian Academic and Research Network (AARNet), AU",gw-apnic-pe1.fvly.aarnet.net.au
203.133.248.56,1,Intermediate,4608.0,"APNIC-SERVICES Asia Pacific Network Information Centre, AU",ripe-anchor.rand.apnic.net
80.239.135.54,2,Intermediate,1299.0,"TELIANET Telia Carrier, SE",win-b4-link.telia.net
62.115.112.198,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",win-bb2-link.telia.net
62.115.133.79,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",ffm-bb2-link.telia.net
62.115.139.7,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",bei-b1-link.telia.net
62.115.134.195,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",bei-b2-link.telia.net
62.115.50.211,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",ipb-ic-321779-bei-b1.c.telia.net
194.29.243.90,1,Intermediate,20647.0,"IPB IPB Internet Provider in Berlin GmbH, DE",194-29-243-90.ipberlin.com
194.29.243.58,1,Intermediate,20647.0,"IPB IPB Internet Provider in Berlin GmbH, DE",vl3015.cs34.k1.ipberlin.com
185.27.158.238,1,Intermediate,20647.0,"IPB IPB Internet Provider in Berlin GmbH, DE",de-ber-as20647.anchors.atlas.ripe.net
154.54.56.233,1,Intermediate,174.0,"COGENT-174, US",be2672.ccr21.muc03.atlas.cogentco.com
154.54.36.53,2,Intermediate,174.0,"COGENT-174, US",be2959.ccr41.fra03.atlas.cogentco.com
130.117.15.66,2,Intermediate,174.0,"COGENT-174, US",telecomitalia.fra03.atlas.cogentco.com
93.186.132.245,1,Intermediate,6762.0,"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",et2-1-2-50.istanbul2.ist.seabone.net
93.186.132.149,1,Intermediate,6762.0,"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",teknotel.istanbul2.ist.seabone.net
77.92.111.190,1,Intermediate,25145.0,"TEKNOTEL-AS Teknotel Telekomunikasyon A.S., TR",edge.ist.tr.link.intibu.com
213.238.162.218,1,Intermediate,48292.0,"INTIBU intibu.com, TR",tr-ist-as48292.anchors.atlas.ripe.net
154.54.58.162,1,Intermediate,174.0,"COGENT-174, US",hu0-3-0-6.ccr51.vie01.atlas.cogentco.com
154.54.58.5,1,Intermediate,174.0,"COGENT-174, US",be2974.ccr21.muc03.atlas.cogentco.com
89.221.37.10,1,Intermediate,6762.0,"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",NA
89.221.37.7,2,Intermediate,6762.0,"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",NA
46.249.96.2,1,Intermediate,12697.0,"PARSUN-SINDAD-ANCHOR, IR",NA
154.54.37.30,1,Intermediate,174.0,"COGENT-174, US",be2846.rcr22.fra06.atlas.cogentco.com
149.11.96.42,1,Intermediate,174.0,"COGENT-174, US",NA
62.214.38.97,1,Intermediate,8881.0,"VERSATEL, DE",NA
217.9.108.198,1,Intermediate,8881.0,"VERSATEL, DE",NA
185.70.144.116,1,Intermediate,200567.0,"MDEX, DE",NA
141.136.101.237,1,Intermediate,3257.0,"GTT-BACKBONE GTT, DE",ae2.cr1-vie2.ip4.gtt.net
89.149.128.26,1,Intermediate,3257.0,"GTT-BACKBONE GTT, DE",ae17.cr2-mil3.ip4.gtt.net
185.78.48.9,1,Intermediate,201333.0,"NAQUADRIA-AS Naquadria Global ASN, IT",r01-ens2f4.mil1c.naquadria.net
185.78.48.12,1,Intermediate,201333.0,"NAQUADRIA-AS Naquadria Global ASN, IT",r02-ens2f4.pia1.naquadria.net
185.78.48.21,1,Intermediate,201333.0,"NAQUADRIA-AS Naquadria Global ASN, IT",cr02-vlan1020.pia1.naquadria.net
185.78.49.100,1,Intermediate,201333.0,"NAQUADRIA-AS Naquadria Global ASN, IT",it-pcz-as201333.anchors.atlas.ripe.net
62.115.113.68,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",prag-bb1-link.telia.net
80.91.247.83,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",sfia-b2-link.telia.net
213.248.93.34,1,Intermediate,1299.0,"TELIANET Telia Carrier, SE",delta-ic-346369-s-fia-b2.c.telia.net
89.235.72.26,1,Intermediate,24631.0,"FANAPTELECOM-FCP, IR",NA
89.235.72.41,1,Intermediate,24631.0,"FANAPTELECOM-FCP, IR",NA
185.229.28.254,1,Intermediate,39650.0,"ATRINCOMMUNICATION, IR",20g.atrin.sc2
185.229.28.6,1,Intermediate,39650.0,"ATRINCOMMUNICATION, IR",NA
130.117.1.117,1,Intermediate,174.0,"COGENT-174, US",be3187.agr41.fra03.atlas.cogentco.com
130.117.14.118,1,Intermediate,174.0,"COGENT-174, US",telefonica.fra03.atlas.cogentco.com
176.52.252.33,1,Intermediate,12956.0,"TELEFONICA TELXIUS, ES",NA
62.53.28.168,1,Intermediate,6805.0,"TDDE-ASN1, DE",bundle-ether5.0001.dbrx.01.off.de.net.telefonica.de
62.53.0.198,1,Intermediate,6805.0,"TDDE-ASN1, DE",ae2-0.0002.corx.02.fra.de.net.telefonica.de
62.53.0.48,1,Intermediate,6805.0,"TDDE-ASN1, DE",ae10-0.0001.corx.06.ham.de.net.telefonica.de
62.53.14.239,1,Intermediate,6805.0,"TDDE-ASN1, DE",ae0-0.0001.dbrx.02.ham.de.net.telefonica.de
62.53.1.107,1,Intermediate,6805.0,"TDDE-ASN1, DE",te0-3-0.0001.burx.02.ham.de.net.telefonica.de
62.109.126.145,2,Intermediate,6805.0,"TDDE-ASN1, DE",NA
