From,To,Date,Time,Next_Hop,AS_PATH,Announce,Withdraw
AS265721,AS12654,04/29/20,15:07:04,45.65.244.1,"['265721', '23520', '6830', '3356', '2152', '2152', '2152', '18558']","['  204.100.41.0/24', '  204.100.149.0/24', '  204.100.91.0/24', '  204.100.194.0/24', '  204.100.190.0/24', '  204.100.72.0/24', '  204.100.90.0/24', '  204.100.98.0/24', '  204.100.88.0/24', '  204.100.87.0/24', '  204.100.74.0/24', '  204.100.191.0/24', '  204.100.103.0/24', '  204.100.127.0/24', '  204.100.232.0/24', '  204.100.128.0/24', '  204.100.125.0/24', '  204.100.223.0/24', '  204.100.78.0/24', '  204.100.192.0/24', '  204.100.99.0/24', '  204.100.60.0/24', '  204.100.43.0/24', '  204.100.89.0/24', '  204.100.92.0/24', '  204.100.93.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:07:05,45.65.244.1,"['265721', '23520', '6939', '45352']",['  162.253.19.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:07:06,45.65.244.1,"['265721', '23520', '6830', '3356', '209', '721', '27064', '3475']",['  205.103.60.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:07:07,45.65.244.1,"['265721', '23520', '6830', '3356', '209', '721', '27066', '647']","['  205.57.120.0/24', '  205.57.122.0/24', '  205.57.121.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:07:08,45.65.244.1,"['265721', '23520', '1299', '209', '721', '27066', '647']","['  205.57.120.0/24', '  205.57.122.0/24', '  205.57.121.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:07:09,45.65.244.1,"['265721', '23520', '1299', '209', '721', '27066', '647']",['  205.107.184.0/24'],['N/A']
AS265721,AS12654,04/29/20,15:07:10,45.65.244.1,"['265721', '23520', '262191', '262191', '262191', '262191', '262191', '262191']",['  190.131.192.108/30'],['N/A']
AS265721,AS12654,04/29/20,15:07:11,45.65.244.1,"['265721', '23520', '1299', '3356', '3549', '263482', '263988']","['  138.255.190.0/24', '  138.255.191.0/24', '  138.255.189.0/24', '  138.255.188.0/24']",['N/A']
AS265721,AS12654,04/29/20,15:07:12,45.65.244.1,"['265721', '23520', '1299', '37468', '263482', '266176', '266295']","['  170.79.65.0/24', '  170.79.64.0/22']",['N/A']
AS265721,AS12654,04/29/20,15:07:13,45.65.244.1,"['265721', '23520', '1299', '4809', '37273', '327799']","['  154.73.107.0/24', '  154.73.106.0/24']",['N/A']
